Zip,NICHE ranking
98004,1
98055,2
98052,3
98109,5
98007,6
98122,7
98029,8
98102,9
98103,10
98006,11
98033,12
98074,13
98040,14
98115,16
98112,17
98107,18
98119,19
98105,20
98075,21
98008,22
98116,23
98053,24
98144,25
98039,26
98034,27
98199,28
98117,30
98027,31
98177,32
98125,33
98028,34
98011,35
98065,36
98072,37
98155,38
98126,39
98077,40
98136,41
98133,42
98059,43
98118,44
98106,45
98056,46
98019,47
98058,48
98024,49
98038,50
98010,51
98055,52
98166,53
98108,54
98045,55
98031,56
98092,57
98146,58
98003,59
98178,61
98042,62
98188,63
98014,64
98032,65
98001,66
98023,67
98002,68
98148,69
98198,70
98030,70
98168,70
98070,70
